Seed,Dataset,Approach,NMI,GC,ILF1,ARI,EBM,KNN Acc,ASW_B,ASW_C
123,MouseRetina,scGen,0.7691508040491807,1.0,0.0023711810305517,0.1947666710885817,0.2259621958374806,0.9308645282032,0.8577992591804036,0.6880817115306854
456,MouseRetina,scGen,0.7669577209409374,1.0,0.0023711810305517,0.1777599627800281,0.2277700614790327,0.9319711964664552,0.8470569030424488,0.6882162541151047
789,MouseRetina,scGen,0.8142810490037535,1.0,0.0023711810305517,0.194708795315791,0.2271483650456623,0.9316694473663923,0.8475521363214688,0.6870458424091339
1618,MouseRetina,scGen,0.7732794832052889,1.0,0.0023711810305517,0.1859474553194859,0.2288600158930979,0.9276357903805148,0.8500919150820421,0.6900157630443573
2024,MouseRetina,scGen,0.818347146735479,1.0,0.0023711810305517,0.1903723804747643,0.2314760504866423,0.9308321404384506,0.8522145483737971,0.6890199929475784
2718,MouseRetina,scGen,0.8158569345395174,1.0,0.0023711810305517,0.1993629767134088,0.2300137427147262,0.926845218983368,0.8542196719557097,0.6881957352161407
9999,MouseRetina,scGen,0.8123253616529199,1.0,0.0023711810305517,0.1780220420254316,0.2246746741856,0.9247647661858128,0.8572977222137261,0.6885353624820709
31415,MouseRetina,scGen,0.7714680436731629,1.0,0.0023711810305517,0.1804700462892058,0.2255253968284434,0.9295642125283872,0.8497147217895649,0.6895439922809601
101112,MouseRetina,scGen,0.8098245126502289,1.0,0.0023711810305517,0.1882997919176165,0.2241588864648857,0.9270369473073252,0.8510410427842722,0.6922962963581085
42,PBMC,scGen,0.8191228131335521,1.0,0.0041897720271102,0.4024635032497208,0.5533703523457709,0.9288238247390908,0.8807228888475748,0.6537146866321564
123,PBMC,scGen,0.8087402832686237,1.0,0.0041897720271102,0.4335449838665603,0.5496114764750476,0.9374229849666684,0.8815972341498557,0.6503630876541138
456,PBMC,scGen,0.8156793651076819,1.0,0.0041897720271102,0.3969081233567836,0.5574096042978263,0.9381070507135756,0.8765946688775972,0.650564894080162
789,PBMC,scGen,0.8148098417374617,1.0,0.0041897720271102,0.355948244153362,0.5428110866241084,0.9369685119587958,0.8791196521533167,0.6533021181821823
1618,PBMC,scGen,0.8094872621010611,1.0,0.0041897720271102,0.3740118243300806,0.5504013706394524,0.9455427575890047,0.8830563415646269,0.6569277197122574
2024,PBMC,scGen,0.816391624187435,1.0,0.0041897720271102,0.4096727077190213,0.5321553599735328,0.9343977350394936,0.8804365657111803,0.6490233987569809
2718,PBMC,scGen,0.8144777870595603,1.0,0.0041897720271102,0.3968158607211139,0.5348402446886125,0.9308514277597736,0.8749753089311516,0.6481857895851135
9999,PBMC,scGen,0.8031057428461064,1.0,0.0041897720271102,0.3667470312874419,0.5299056869564354,0.937230130942759,0.8810179161832329,0.6478996276855469
31415,PBMC,scGen,0.8000496824569562,1.0,0.0041897720271102,0.394024119093627,0.5293280157928645,0.9368678188545077,0.8808667481640148,0.6500219255685806
101112,PBMC,scGen,0.839505638328945,1.0,0.0041897720271102,0.3836037172657214,0.526477794143578,0.9379638419477933,0.8802159341239401,0.6504947394132614
